id,exercise_id,equipment_name,possible,is_default_setup,details,created_at
000ec9e5-3b08-4e47-bea5-194b774d4e5a,e7b87747-3a1f-4cfc-9d97-963ee8b4c299,small barbell,true,false,"{""hands_1"": false, ""hands_2"": true, ""grip_sup"": true, ""grip_s_n"": false, ""grip_n"": false, ""grip_n_p"": false, ""grip_pro"": true, ""plane_lat"": false, ""plane_l_s"": true, ""plane_sag"": true, ""plane_s_t"": false, ""plane_trans"": false, ""plane_t_l"": false, ""width_x05"": false, ""width_x1"": true, ""width_x15"": false, ""cable_h_1_8"": false, ""cable_h_9_15"": false, ""cable_h_16_22"": false, ""bench_flat"": false, ""bench_incl"": false, ""bench_upright"": false, ""stand_0"": false, ""stand_45"": false, ""stand_90"": false, ""stand_90os"": false, ""stand_135"": false, ""stand_180"": false, ""bench_cable_0"": false, ""bench_cable_90"": false, ""bench_cable_180"": false, ""body_bench_0"": false, ""body_bench_45"": false, ""body_bench_90"": false, ""body_bench_135"": false, ""body_bench_180"": false, ""body_pos_lying"": false, ""body_pos_180"": false, ""body_pos_sitting"": false, ""sit_0"": false, ""sit_90"": false, ""cables_1"": false, ""cables_2"": false, ""info_equipment"": ""sup = sag""}",2026-04-03 19:05:59.939817+00
0077e42a-abd9-44d8-be12-3451f06e0d99,c300f973-aab4-46cd-8b58-f23e66f539c4,straight,true,false,"{""hands_1"": false, ""hands_2"": true, ""grip_sup"": false, ""grip_s_n"": false, ""grip_n"": false, ""grip_n_p"": false, ""grip_pro"": true, ""plane_lat"": false, ""plane_l_s"": false, ""plane_sag"": false, ""plane_s_t"": false, ""plane_trans"": false, ""plane_t_l"": false, ""width_x05"": false, ""width_x1"": true, ""width_x15"": false, ""cable_h_1_8"": false, ""cable_h_9_15"": false, ""cable_h_16_22"": false, ""bench_flat"": false, ""bench_incl"": false, ""bench_upright"": false, ""stand_0"": false, ""stand_45"": false, ""stand_90"": false, ""stand_90os"": false, ""stand_135"": false, ""stand_180"": false, ""bench_cable_0"": false, ""bench_cable_90"": false, ""bench_cable_180"": false, ""body_bench_0"": false, ""body_bench_45"": false, ""body_bench_90"": false, ""body_bench_135"": false, ""body_bench_180"": false, ""body_pos_lying"": false, ""body_pos_180"": false, ""body_pos_sitting"": false, ""sit_0"": false, ""sit_90"": false, ""cables_1"": false, ""cables_2"": true, ""info_equipment"": ""straight arms""}",2026-04-03 19:05:59.939817+00
00c012b9-5c82-437d-9867-5fc1b44cb0df,275410a5-51d4-49d3-9d2b-7df4f96dd2a1,d-handle fix,false,false,"{""hands_1"": false, ""hands_2"": false, ""grip_sup"": false, ""grip_s_n"": false, ""grip_n"": false, ""grip_n_p"": false, ""grip_pro"": false, ""plane_lat"": false, ""plane_l_s"": false, ""plane_sag"": false, ""plane_s_t"": false, ""plane_trans"": false, ""plane_t_l"": false, ""width_x05"": false, ""width_x1"": false, ""width_x15"": false, ""cable_h_1_8"": false, ""cable_h_9_15"": false, ""cable_h_16_22"": false, ""bench_flat"": false, ""bench_incl"": false, ""bench_upright"": false, ""stand_0"": false, ""stand_45"": false, ""stand_90"": false, ""stand_90os"": false, ""stand_135"": false, ""stand_180"": false, ""bench_cable_0"": false, ""bench_cable_90"": false, ""bench_cable_180"": false, ""body_bench_0"": false, ""body_bench_45"": false, ""body_bench_90"": false, ""body_bench_135"": false, ""body_bench_180"": false, ""body_pos_lying"": false, ""body_pos_180"": false, ""body_pos_sitting"": false, ""sit_0"": false, ""sit_90"": false, ""cables_1"": false, ""cables_2"": false}",2026-04-03 19:05:59.939817+00
01167aee-c01a-4509-b30c-1073cf839d6b,933f308b-a289-4124-8993-cd3533256a14,small barbell,false,false,"{""hands_1"": false, ""hands_2"": false, ""grip_sup"": false, ""grip_s_n"": false, ""grip_n"": false, ""grip_n_p"": false, ""grip_pro"": false, ""plane_lat"": false, ""plane_l_s"": false, ""plane_sag"": false, ""plane_s_t"": false, ""plane_trans"": false, ""plane_t_l"": false, ""width_x05"": false, ""width_x1"": false, ""width_x15"": false, ""cable_h_1_8"": false, ""cable_h_9_15"": false, ""cable_h_16_22"": false, ""bench_flat"": false, ""bench_incl"": false, ""bench_upright"": false, ""stand_0"": false, ""stand_45"": false, ""stand_90"": false, ""stand_90os"": false, ""stand_135"": false, ""stand_180"": false, ""bench_cable_0"": false, ""bench_cable_90"": false, ""bench_cable_180"": false, ""body_bench_0"": false, ""body_bench_45"": false, ""body_bench_90"": false, ""body_bench_135"": false, ""body_bench_180"": false, ""body_pos_lying"": false, ""body_pos_180"": false, ""body_pos_sitting"": false, ""sit_0"": false, ""sit_90"": false, ""cables_1"": false, ""cables_2"": false}",2026-04-03 19:05:59.939817+00
0142d2f8-52f4-42d8-a32e-eb781f4b9610,1315e5cf-a85e-459e-b451-906e5bf659b7,d-handle fix,false,false,"{""hands_1"": false, ""hands_2"": false, ""grip_sup"": false, ""grip_s_n"": false, ""grip_n"": false, ""grip_n_p"": false, ""grip_pro"": false, ""plane_lat"": false, ""plane_l_s"": false, ""plane_sag"": false, ""plane_s_t"": false, ""plane_trans"": false, ""plane_t_l"": false, ""width_x05"": false, ""width_x1"": false, ""width_x15"": false, ""cable_h_1_8"": false, ""cable_h_9_15"": false, ""cable_h_16_22"": false, ""bench_flat"": false, ""bench_incl"": false, ""bench_upright"": false, ""stand_0"": false, ""stand_45"": false, ""stand_90"": false, ""stand_90os"": false, ""stand_135"": false, ""stand_180"": false, ""bench_cable_0"": false, ""bench_cable_90"": false, ""bench_cable_180"": false, ""body_bench_0"": false, ""body_bench_45"": false, ""body_bench_90"": false, ""body_bench_135"": false, ""body_bench_180"": false, ""body_pos_lying"": false, ""body_pos_180"": false, ""body_pos_sitting"": false, ""sit_0"": false, ""sit_90"": false, ""cables_1"": false, ""cables_2"": false}",2026-04-03 19:05:59.939817+00
014e56d7-b445-430f-a244-f63ea62f117c,b9614b29-fd3c-483c-9a3e-354f2c297e4f,mag middle n-p,false,false,"{""hands_1"": false, ""hands_2"": false, ""grip_sup"": false, ""grip_s_n"": false, ""grip_n"": false, ""grip_n_p"": false, ""grip_pro"": false, ""plane_lat"": false, ""plane_l_s"": false, ""plane_sag"": false, ""plane_s_t"": false, ""plane_trans"": false, ""plane_t_l"": false, ""width_x05"": false, ""width_x1"": false, ""width_x15"": false, ""cable_h_1_8"": false, ""cable_h_9_15"": false, ""cable_h_16_22"": false, ""bench_flat"": false, ""bench_incl"": false, ""bench_upright"": false, ""stand_0"": false, ""stand_45"": false, ""stand_90"": false, ""stand_90os"": false, ""stand_135"": false, ""stand_180"": false, ""bench_cable_0"": false, ""bench_cable_90"": false, ""bench_cable_180"": false, ""body_bench_0"": false, ""body_bench_45"": false, ""body_bench_90"": false, ""body_bench_135"": false, ""body_bench_180"": false, ""body_pos_lying"": false, ""body_pos_180"": false, ""body_pos_sitting"": false, ""sit_0"": false, ""sit_90"": false, ""cables_1"": false, ""cables_2"": false}",2026-04-03 19:05:59.939817+00
02055983-2df5-4222-a6b2-d41d4ca36bce,5d48389c-b5d4-4bde-af3c-296bb38b2267,nose bar,false,false,"{""hands_1"": false, ""hands_2"": false, ""grip_sup"": false, ""grip_s_n"": false, ""grip_n"": false, ""grip_n_p"": false, ""grip_pro"": false, ""plane_lat"": false, ""plane_l_s"": false, ""plane_sag"": false, ""plane_s_t"": false, ""plane_trans"": false, ""plane_t_l"": false, ""width_x05"": false, ""width_x1"": false, ""width_x15"": false, ""cable_h_1_8"": false, ""cable_h_9_15"": false, ""cable_h_16_22"": false, ""bench_flat"": false, ""bench_incl"": false, ""bench_upright"": false, ""stand_0"": false, ""stand_45"": false, ""stand_90"": false, ""stand_90os"": false, ""stand_135"": false, ""stand_180"": false, ""bench_cable_0"": false, ""bench_cable_90"": false, ""bench_cable_180"": false, ""body_bench_0"": false, ""body_bench_45"": false, ""body_bench_90"": false, ""body_bench_135"": false, ""body_bench_180"": false, ""body_pos_lying"": false, ""body_pos_180"": false, ""body_pos_sitting"": false, ""sit_0"": false, ""sit_90"": false, ""cables_1"": false, ""cables_2"": false}",2026-04-03 19:05:59.606313+00
020d46ed-81b1-495b-a124-0344c1135623,b42d14f1-0195-4da1-b07a-2ea72d25803c,nooses,true,false,"{""hands_1"": false, ""hands_2"": true, ""grip_sup"": false, ""grip_s_n"": true, ""grip_n"": false, ""grip_n_p"": false, ""grip_pro"": false, ""plane_lat"": false, ""plane_l_s"": false, ""plane_sag"": true, ""plane_s_t"": false, ""plane_trans"": false, ""plane_t_l"": false, ""width_x05"": false, ""width_x1"": true, ""width_x15"": false, ""cable_h_1_8"": false, ""cable_h_9_15"": false, ""cable_h_16_22"": false, ""bench_flat"": false, ""bench_incl"": false, ""bench_upright"": false, ""stand_0"": false, ""stand_45"": false, ""stand_90"": false, ""stand_90os"": false, ""stand_135"": false, ""stand_180"": false, ""bench_cable_0"": false, ""bench_cable_90"": false, ""bench_cable_180"": false, ""body_bench_0"": false, ""body_bench_45"": false, ""body_bench_90"": false, ""body_bench_135"": false, ""body_bench_180"": false, ""body_pos_lying"": false, ""body_pos_180"": false, ""body_pos_sitting"": false, ""sit_0"": false, ""sit_90"": false, ""cables_1"": true, ""cables_2"": false}",2026-04-03 19:05:59.939817+00
02434ef3-f42b-4270-a159-2e4a981e82b3,d70ccdb3-1432-4804-8986-7740fe5aed3f,cuff,false,false,"{""hands_1"": false, ""hands_2"": false, ""grip_sup"": false, ""grip_s_n"": false, ""grip_n"": false, ""grip_n_p"": false, ""grip_pro"": false, ""plane_lat"": false, ""plane_l_s"": false, ""plane_sag"": false, ""plane_s_t"": false, ""plane_trans"": false, ""plane_t_l"": false, ""width_x05"": false, ""width_x1"": false, ""width_x15"": false, ""cable_h_1_8"": false, ""cable_h_9_15"": false, ""cable_h_16_22"": false, ""bench_flat"": false, ""bench_incl"": false, ""bench_upright"": false, ""stand_0"": false, ""stand_45"": false, ""stand_90"": false, ""stand_90os"": false, ""stand_135"": false, ""stand_180"": false, ""bench_cable_0"": false, ""bench_cable_90"": false, ""bench_cable_180"": false, ""body_bench_0"": false, ""body_bench_45"": false, ""body_bench_90"": false, ""body_bench_135"": false, ""body_bench_180"": false, ""body_pos_lying"": false, ""body_pos_180"": false, ""body_pos_sitting"": false, ""sit_0"": false, ""sit_90"": false, ""cables_1"": false, ""cables_2"": false}",2026-04-03 19:05:59.606313+00
036479d6-b747-4611-af31-84be7a9d85df,1315e5cf-a85e-459e-b451-906e5bf659b7,neutral close,false,false,"{""hands_1"": false, ""hands_2"": false, ""grip_sup"": false, ""grip_s_n"": false, ""grip_n"": false, ""grip_n_p"": false, ""grip_pro"": false, ""plane_lat"": false, ""plane_l_s"": false, ""plane_sag"": false, ""plane_s_t"": false, ""plane_trans"": false, ""plane_t_l"": false, ""width_x05"": false, ""width_x1"": false, ""width_x15"": false, ""cable_h_1_8"": false, ""cable_h_9_15"": false, ""cable_h_16_22"": false, ""bench_flat"": false, ""bench_incl"": false, ""bench_upright"": false, ""stand_0"": false, ""stand_45"": false, ""stand_90"": false, ""stand_90os"": false, ""stand_135"": false, ""stand_180"": false, ""bench_cable_0"": false, ""bench_cable_90"": false, ""bench_cable_180"": false, ""body_bench_0"": false, ""body_bench_45"": false, ""body_bench_90"": false, ""body_bench_135"": false, ""body_bench_180"": false, ""body_pos_lying"": false, ""body_pos_180"": false, ""body_pos_sitting"": false, ""sit_0"": false, ""sit_90"": false, ""cables_1"": false, ""cables_2"": false}",2026-04-03 19:05:59.939817+00
